index	UMLS_CUI	type	
159	C0979430	drug
160	C0976720	drug
161	C0689323	drug
162	C0774542	drug
163	C3162412	drug
164	C2718646	drug
165	C4019664	drug
166	C4059406	drug
167	C2700656	drug
168	C0282125	drug
169	C1165060	drug
170	C0771848	drug
171	C0981765	drug
172	C3504784	drug
173	C0979909	drug
174	C0700583	drug
175	C3857227	drug
176	C3554853	drug
177	C1178591	drug
178	C2346382	drug
179	C0981691	drug
180	C2683607	drug
181	C0975085	drug
182	C4270884	drug
183	C0773582	drug
184	C0795227	drug
185	C1318736	drug
186	C0700542	drug
187	C4522889	drug
188	C0874901	drug
189	C1562857	drug
190	C1725449	drug
191	C0546873	drug
192	C0690861	drug
193	C2917471	drug
194	C0969324	drug
195	C0974671	drug
196	C3474286	drug
197	C4082920	drug
198	C0979816	drug
199	C0978345	drug
200	C0024977	drug
201	C0979821	drug
202	C1177631	drug
203	C1572529	drug
204	C1572413	drug
205	C0982318	drug
206	C0982808	drug
207	C0777724	drug
208	C1372952	drug
209	C0025270	drug
210	C0981840	drug
211	C1813144	drug
212	C4238776	drug
213	C0706958	drug
214	C0976204	drug
215	C4282624	drug
216	C1813325	drug
217	C2948697	drug
218	C0979061	drug
219	C0979644	drug
220	C0211011	drug
221	C0874721	drug
222	C0000946	drug
223	C0977031	drug
224	C0981198	drug
225	C3205198	drug
226	C3249129	drug
227	C1329148	drug
228	C0774779	drug
229	C1329590	drug
230	C1950725	drug
231	C0032066	drug
232	C1565750	drug
233	C2718518	drug
234	C0031408	drug
235	C2684049	drug
236	C0779609	drug
237	C0973747	drug
238	C0042071	drug
239	C0976671	drug
240	C3264935	drug
241	C0980693	drug
242	C0947651	drug
243	C0980973	drug
244	C4073751	drug
245	C0982356	drug
246	C0377401	drug
247	C0304305	drug
248	C0981666	drug
249	C0851344	drug
250	C0053523	drug
251	C0691953	drug
252	C0687828	drug
253	C1590956	drug
254	C0887700	drug
255	C0688453	drug
256	C0978575	drug
257	C0974567	drug
258	C2725759	drug
259	C0979319	drug
260	C2364493	drug
261	C4282632	drug
262	C0014962	drug
263	C4049074	drug
264	C0874811	drug
265	C2702144	drug
266	C0974858	drug
267	C0774477	drug
268	C0691233	drug
269	C0165603	drug
270	C1639157	drug
271	C2740324	drug
272	C0128170	drug
273	C0978604	drug
274	C0002860	drug
275	C0979244	drug
276	C0688599	drug
277	C0875947	drug
278	C0982287	drug
279	C0164386	drug
280	C0012010	drug
281	C0974137	drug
282	C0977415	drug
283	C0007562	drug
284	C1595275	drug
285	C0980504	drug
286	C2364481	drug
287	C0012294	drug
288	C0125988	drug
289	C0704929	drug
290	C4475098	drug
291	C0025840	drug
292	C0796545	drug
293	C3666683	drug
294	C3847977	drug
295	C2731298	drug
296	C4048837	drug
297	C0073633	drug
298	C0691162	drug
299	C0282275	drug
300	C0978215	drug
301	C4074422	drug
302	C1816128	drug
303	C1828651	drug
304	C3668789	drug
305	C0976130	drug
306	C0688843	drug
307	C0980539	drug
308	C0304521	drug
309	C0979237	drug
310	C0794688	drug
311	C4083078	drug
312	C4048717	drug
313	C0142805	drug
314	C0976093	drug
315	C0690687	drug
316	C0692635	drug
317	C0590817	drug
318	C3464063	drug
319	C0688670	drug
320	C0980666	drug
321	C0594368	drug
322	C1168866	drug
323	C0009014	drug
324	C1586108	drug
325	C0976464	drug
326	C0980066	drug
327	C4473866	drug
328	C4301445	drug
329	C3887542	drug
330	C0780666	drug
331	C0978326	drug
332	C0358176	drug
333	C0025152	drug
334	C1877401	drug
335	C1273043	drug
336	C0282277	drug
337	C0006692	drug
338	C0774326	drug
339	C0981151	drug
340	C0772089	drug
341	C1321293	drug
342	C3255419	drug
343	C0781696	drug
344	C0776371	drug
345	C1532852	drug
346	C0027679	drug
347	C0690406	drug
348	C1251857	drug
349	C0975759	drug
350	C0705629	drug
351	C0060483	drug
352	C3265310	drug
353	C0690494	drug
354	C1618102	drug
355	C0795674	drug
356	C0978597	drug
357	C0027348	drug
358	C0979799	drug
359	C0164613	drug
360	C0018546	drug
361	C0775274	drug
362	C0976969	drug
363	C0770221	drug
364	C2684747	drug
365	C0982531	drug
366	C0694160	drug
367	C0982847	drug
368	C1363200	drug
369	C0035924	drug
370	C0004037	drug
371	C0354184	drug
372	C0691765	drug
373	C0010590	drug
374	C0991639	drug
375	C4224829	drug
376	C0688616	drug
377	C0980544	drug
378	C1532137	drug
379	C0724679	drug
380	C0033508	drug
381	C1165066	drug
382	C1164895	drug
383	C0974797	drug
384	C0693279	drug
385	C3154649	drug
386	C0721688	drug
387	C1967858	drug
388	C0688803	drug
389	C0938632	drug
390	C4048343	drug
391	C0060276	drug
392	C3163638	drug
393	C2584342	drug
394	C0688493	drug
395	C0874732	drug
396	C0980639	drug
397	C3668469	drug
398	C0980167	drug
399	C1703334	drug
400	C0981870	drug
401	C0033124	drug
402	C0981677	drug
403	C3536846	drug
404	C4048860	drug
405	C0789347	drug
406	C0991652	drug
407	C0975711	drug
408	C3464959	drug
409	C4056439	drug
410	C0974208	drug
411	C0008163	drug
412	C4082683	drug
413	C4018219	drug
414	C3709479	drug
415	C0017687	drug
416	C3883335	drug
417	C1602831	drug
418	C0237417	drug
419	C2356477	drug
420	C3817072	drug
421	C2727689	drug
422	C1948867	drug
423	C4049094	drug
424	C3247941	drug
425	C1964982	drug
426	C2266973	drug
427	C0978932	drug
428	C0982911	drug
429	C0981111	drug
430	C0772488	drug
431	C0694370	drug
432	C0978280	drug
433	C0052416	drug
434	C0875561	drug
435	C0976944	drug
436	C1814967	drug
437	C0016278	drug
438	C0976573	drug
439	C0054668	drug
440	C0978060	drug
441	C0081408	drug
442	C0976746	drug
443	C0982714	drug
444	C0775083	drug
445	C2586674	drug
446	C0546864	drug
447	C0937551	drug
448	C1996405	drug
449	C2241321	drug
450	C0792391	drug
451	C4056563	drug
452	C0976909	drug
453	C4083015	drug
454	C1948876	drug
455	C0691331	drug
456	C2720019	drug
457	C4317196	drug
458	C1612428	drug
459	C0700465	drug
460	C0979522	drug
461	C0694105	drug
462	C0030817	drug
463	C1562558	drug
464	C0715738	drug
465	C3709978	drug
466	C0033979	drug
467	C0981702	drug
468	C0688388	drug
469	C0980696	drug
470	C4291391	drug
471	C0688406	drug
472	C0980207	drug
473	C0976766	drug
474	C0065517	drug
475	C1509279	drug
476	C0980613	drug
477	C4049035	drug
478	C3486191	drug
479	C0979757	drug
480	C0590311	drug
481	C1533126	drug
482	C1329360	drug
483	C1177140	drug
484	C0708218	drug
485	C0973784	drug
486	C2978154	drug
487	C0786331	drug
488	C0939172	drug
489	C2684061	drug
490	C1586202	drug
491	C0982884	drug
492	C0069751	drug
493	C0075770	drug
494	C0304783	drug
495	C0770565	drug
496	C0024057	drug
497	C1695322	drug
498	C0352842	drug
499	C0606954	drug
500	C0593789	drug
501	C1967982	drug
502	C0352803	drug
503	C2702496	drug
504	C0724636	drug
505	C0028906	drug
506	C0981598	drug
507	C0021403	drug
508	C0980170	drug
509	C0693523	drug
510	C0975121	drug
511	C3887836	drug
512	C0976705	drug
513	C0754011	drug
514	C0980965	drug
515	C0009213	drug
516	C1168818	drug
517	C0980679	drug
518	C0786451	drug
519	C0975388	drug
520	C0976956	drug
521	C0694382	drug
522	C0979174	drug
523	C0770325	drug
524	C4056019	drug
525	C0688877	drug
526	C4057935	drug
527	C2930113	drug
528	C1590182	drug
529	C1361750	drug
530	C0687871	drug
531	C3883464	drug
532	C1177139	drug
533	C1814279	drug
534	C0978651	drug
535	C1360328	drug
536	C2713008	drug
537	C1967976	drug
538	C3855225	drug
539	C0979273	drug
540	C0689015	drug
541	C1359442	drug
542	C0975250	drug
543	C0707244	drug
544	C2756937	drug
545	C1168851	drug
546	C0773663	drug
547	C0006949	drug
548	C1585813	drug
549	C0247025	drug
550	C1831808	drug
551	C0355667	drug
552	C0709217	drug
553	C0086268	drug
554	C0005310	drug
555	C0950387	drug
556	C0288792	drug
557	C0708654	drug
558	C0995060	drug
559	C0976203	drug
560	C0525678	drug
561	C1588477	drug
562	C1122975	drug
563	C0687776	drug
564	C3857851	drug
565	C2978534	drug
566	C0520458	drug
567	C0689946	drug
568	C0794670	drug
569	C0700580	drug
570	C0770721	drug
571	C0037513	drug
572	C0975116	drug
573	C4082912	drug
574	C1967733	drug
575	C0982133	drug
576	C0981554	drug
577	C0025386	drug
578	C0980637	drug
579	C0304378	drug
580	C0018389	drug
581	C0687821	drug
582	C0706124	drug
583	C4325129	drug
584	C4056548	drug
585	C0282239	drug
586	C4224890	drug
587	C0543459	drug
588	C2684063	drug
589	C4473506	drug
590	C0976434	drug
591	C0981054	drug
592	C0690293	drug
593	C3663548	drug
594	C4048993	drug
595	C0058415	drug
596	C1145701	drug
597	C3855018	drug
598	C0976635	drug
599	C2720031	drug
600	C0694148	drug
601	C0982822	drug
602	C1572810	drug
603	C3528743	drug
604	C0771004	drug
605	C0939608	drug
606	C0980002	drug
607	C0980820	drug
608	C1614061	drug
609	C0702522	drug
610	C0980597	drug
611	C4058261	drug
612	C4083416	drug
613	C1828775	drug
614	C1814194	drug
615	C3645251	drug
616	C4519012	drug
617	C0358338	drug
618	C0978503	drug
619	C0980703	drug
620	C0975322	drug
621	C1572367	drug
622	C0693948	drug
623	C0051156	drug
624	C1962375	drug
625	C0980547	drug
626	C0979391	drug
627	C0974060	drug
628	C2684483	drug
629	C0784241	drug
630	C1572743	drug
631	C0975234	drug
632	C4080162	drug
633	C0976218	drug
634	C4282628	drug
635	C0689017	drug
636	C0976125	drug
637	C0775549	drug
638	C1614009	drug
639	C0794895	drug
640	C0977342	drug
641	C0938657	drug
642	C4489815	drug
643	C4281935	drug
644	C3692518	drug
645	C0785997	drug
646	C0771752	drug
647	C3892227	drug
648	C3859813	drug
649	C3504777	drug
650	C0705766	drug
651	C0688158	drug
652	C1572457	drug
653	C0086248	drug
654	C0086158	drug
655	C0059865	drug
656	C0030864	drug
657	C0976879	drug
658	C0981448	drug
659	C2350656	drug
660	C0982119	drug
661	C0976422	drug
662	C0980829	drug
663	C3254853	drug
664	C0980572	drug
665	C4519627	drug
666	C1814029	drug
667	C1881372	drug
668	C0005311	drug
669	C0980643	drug
670	C0976639	drug
671	C0070895	drug
672	C0687973	drug
673	C4082945	drug
674	C1443685	drug
675	C2343194	drug
676	C0689442	drug
677	C0672596	drug
678	C1995668	drug
679	C1095882	drug
680	C1178368	drug
681	C3530512	drug
682	C0975735	drug
683	C0700562	drug
684	C0058135	drug
685	C0980967	drug
686	C0980689	drug
687	C3883283	drug
688	C0702341	drug
689	C4294572	drug
690	C0977224	drug
691	C0977226	drug
692	C0981638	drug
693	C0981575	drug
694	C0771294	drug
695	C0020740	drug
696	C0040613	drug
697	C0974833	drug
698	C1694211	drug
699	C1813149	drug
700	C3853921	drug
701	C0979006	drug
702	C1949544	drug
703	C0590979	drug
704	C0702788	drug
705	C4059407	drug
706	C4060032	drug
707	C1967737	drug
708	C0980027	drug
709	C0980668	drug
710	C0979097	drug
711	C1319775	drug
712	C3709975	drug
713	C0979210	drug
714	C0705940	drug
715	C3177180	drug
716	C0939864	drug
717	C3644004	drug
718	C0976914	drug
719	C0691088	drug
720	C0693825	drug
721	C0206461	drug
722	C0701267	drug
723	C3204655	drug
724	C2731791	drug
725	C0003968	drug
726	C3818721	drug
727	C1572451	drug
728	C0689741	drug
729	C0688104	drug
730	C0979991	drug
731	C0976007	drug
732	C0980466	drug
733	C1813011	drug
734	C2926843	drug
735	C0070122	drug
736	C3887619	drug
737	C1145603	drug
738	C0299792	drug
739	C0979111	drug
740	C1814390	drug
741	C0982825	drug
742	C0252643	drug
743	C4238586	drug
744	C0981863	drug
745	C0979107	drug
746	C0593788	drug
747	C0689751	drug
748	C0788614	drug
749	C4256643	drug
750	C1724241	drug
751	C0689390	drug
752	C0689483	drug
753	C1613433	drug
754	C0079691	drug
755	C1738052	drug
756	C0709777	drug
757	C0693630	drug
758	C1269916	drug
759	C1095911	drug
760	C3847891	drug
761	C0771293	drug
762	C1306064	drug
763	C0975757	drug
764	C0006945	drug
765	C3244761	drug
766	C0698117	drug
767	C1802750	drug
768	C1965633	drug
769	C0977971	drug
770	C0975351	drug
771	C0074493	drug
772	C0982815	drug
773	C0939537	drug
774	C3536841	drug
775	C0973953	drug
776	C0975762	drug
777	C2962546	drug
778	C0687936	drug
779	C1620330	drug
780	C1576493	drug
781	C0724546	drug
782	C2926824	drug
783	C0974046	drug
784	C0778370	drug
785	C0974185	drug
786	C1169894	drug
787	C0687904	drug
788	C1145679	drug
789	C0994340	drug
790	C0980944	drug
791	C0776168	drug
792	C3888072	drug
793	C2266947	drug
794	C0691837	drug
795	C1639494	drug
796	C1358191	drug
797	C0976165	drug
798	C1711709	drug
799	C0691434	drug
800	C3504773	drug
801	C0979347	drug
802	C0981703	drug
803	C0690776	drug
804	C0691502	drug
805	C0981576	drug
806	C0024472	drug
807	C2718477	drug
808	C0692358	drug
809	C0039844	drug
810	C0976355	drug
811	C1699036	drug
812	C0691257	drug
813	C4074397	drug
814	C0687801	drug
815	C0982026	drug
816	C0733397	drug
817	C0982062	drug
818	C4257017	drug
819	C0979541	drug
820	C0978527	drug
821	C0001134	drug
822	C0977854	drug
823	C1576705	drug
824	C1178363	drug
825	C0027368	drug
826	C0979603	drug
827	C1573237	drug
828	C0980835	drug
829	C1965593	drug
830	C0790769	drug
831	C1319371	drug
832	C0938946	drug
833	C0031392	drug
834	C0026259	drug
835	C2684227	drug
836	C1572739	drug
837	C0980836	drug
838	C0980610	drug
839	C1572624	drug
840	C4056565	drug
841	C0793481	drug
842	C4085666	drug
843	C0980968	drug
844	C0690815	drug
845	C0978447	drug
846	C0980832	drug
847	C0014563	drug
848	C0700567	drug
849	C2242313	drug
850	C0980947	drug
851	C0938825	drug
852	C0033228	drug
853	C0773178	drug
854	C0980758	drug
855	C4059374	drug
856	C1576504	drug
857	C0939177	drug
858	C0975148	drug
859	C0073983	drug
860	C4048981	drug
861	C1711760	drug
862	C0994953	drug
863	C0772615	drug
864	C0242451	drug
865	C0979923	drug
866	C0982219	drug
867	C4256511	drug
868	C0980741	drug
869	C0974793	drug
870	C1615092	drug
871	C0301370	drug
872	C2921407	drug
873	C4019972	drug
874	C0982875	drug
875	C3185297	drug
876	C0704670	drug
877	C0976695	drug
878	C1995698	drug
879	C0304299	drug
880	C0354468	drug
881	C0055361	drug
882	C2926696	drug
883	C0974919	drug
884	C0691900	drug
885	C0002644	drug
886	C0774317	drug
887	C0981209	drug
888	C1966726	drug
889	C3159544	drug
890	C4282235	drug
891	C0976049	drug
892	C0977732	drug
893	C4049001	drug
894	C0028360	drug
895	C1631079	drug
896	C0977828	drug
897	C0772515	drug
898	C0060389	drug
899	C1690432	drug
900	C3645255	drug
901	C0053245	drug
902	C3700399	drug
903	C1177118	drug
904	C1509419	drug
905	C2316164	drug
906	C1142614	drug
907	C0980102	drug
908	C0978137	drug
909	C0976521	drug
910	C0689283	drug
911	C1952598	drug
912	C0980004	drug
913	C0689204	drug
914	C0789407	drug
915	C1329016	drug
916	C0784786	drug
917	C0982908	drug
918	C1869620	drug
919	C1532857	drug
920	C0018100	drug
921	C0812468	drug
922	C1168765	drug
923	C2682854	drug
924	C0980354	drug
925	C3714825	drug
926	C0789817	drug
927	C0875662	drug
928	C1576508	drug
929	C0949117	drug
930	C2266963	drug
931	C0975485	drug
932	C3195385	drug
933	C1581187	drug
934	C0980596	drug
935	C3666772	drug
936	C0688221	drug
937	C0784817	drug
938	C0052993	drug
939	C0020306	drug
940	C0977851	drug
941	C0065374	drug
942	C0291140	drug
943	C0033567	drug
944	C0002502	drug
945	C0980014	drug
946	C0980012	drug
947	C0981577	drug
948	C0980030	drug
949	C0977335	drug
950	C0691907	drug
951	C2731787	drug
952	C0689771	drug
953	C4048441	drug
954	C2756446	drug
955	C1697223	drug
956	C0979479	drug
957	C3883465	drug
958	C0690418	drug
959	C0976637	drug
960	C4275380	drug
961	C0063077	drug
962	C0989249	drug
963	C1168865	drug
964	C0975182	drug
965	C4048601	drug
966	C0887175	drug
967	C0027444	drug
968	C1572207	drug
969	C1815723	drug
970	C0301508	drug
971	C0978891	drug
972	C1573240	drug
973	C1814193	drug
974	C3192354	drug
975	C0690426	drug
976	C1572257	drug
977	C4074393	drug
978	C4306302	drug
979	C0015137	drug
980	C0976334	drug
981	C2701451	drug
982	C0689139	drug
983	C0688320	drug
984	C4237940	drug
985	C0689324	drug
986	C0355713	drug
987	C3887814	drug
988	C1178136	drug
989	C0014964	drug
990	C2266949	drug
991	C0980362	drug
992	C0303760	drug
993	C0980176	drug
994	C0282131	drug
995	C0980119	drug
996	C0000992	drug
997	C0301352	drug
998	C3667802	drug
999	C0976121	drug
1000	C4301003	drug
1001	C0688969	drug
1002	C3888181	drug
1003	C0991850	drug
1004	C0023607	drug
1005	C0594375	drug
1006	C2364887	drug
1007	C2722528	drug
1008	C3892229	drug
1009	C0978593	drug
1010	C0994521	drug
1011	C3536352	drug
1012	C2726346	drug
1013	C0013084	drug
1014	C0976585	drug
1015	C0977696	drug
1016	C0053663	drug
1017	C1177205	drug
1018	C1329862	drug
1019	C0690471	drug
1020	C0040976	drug
1021	C0976787	drug
1022	C2709678	drug
1023	C0784202	drug
1024	C3713860	drug
1025	C0778012	drug
1026	C1877013	drug
1027	C0977818	drug
1028	C0002520	drug
1029	C0981770	drug
1030	C0687827	drug
1031	C0974394	drug
1032	C0991847	drug
1033	C0973983	drug
1034	C1363003	drug
1035	C0938512	drug
1036	C1320353	drug
1037	C0994948	drug
1038	C0690267	drug
1039	C1812858	drug
1040	C0979530	drug
1041	C0938674	drug
1042	C0974725	drug
1043	C3257733	drug
1044	C1572781	drug
1045	C0981163	drug
1046	C3888170	drug
1047	C0980010	drug
1048	C3265084	drug
1049	C0978309	drug
1050	C3496858	drug
1051	C1119918	drug
1052	C0975078	drug
1053	C0793131	drug
1054	C1876200	drug
1055	C4048725	drug
1056	C0976068	drug
1057	C0008280	drug
1058	C1320103	drug
1059	C0245519	drug
1060	C0982057	drug
1061	C0980257	drug
1062	C0687874	drug
1063	C0692661	drug
1064	C0688924	drug
1065	C0689306	drug
1066	C0976995	drug
1067	C0030350	drug
1068	C0724659	drug
1069	C1273283	drug
1070	C3883587	drug
1071	C0776617	drug
1072	C0042679	drug
1073	C1576460	drug
1074	C0981597	drug
1075	C0976748	drug
1076	C0979076	drug
1077	C0781049	drug
1078	C0702309	drug
1079	C0977978	drug
1080	C0693581	drug
1081	C0978992	drug
1082	C0774322	drug
1083	C0980097	drug
1084	C1814378	drug
1085	C3530520	drug
1086	C0016156	drug
1087	C0977236	drug
1088	C0542683	drug
1089	C0979801	drug
1090	C4519536	drug
1091	C4256845	drug
1092	C2609736	drug
1093	C1968016	drug
1094	C0976868	drug
1095	C0689153	drug
1096	C0691949	drug
1097	C0782047	drug
1098	C0981534	drug
1099	C0980847	drug
1100	C0689341	drug
1101	C0976476	drug
1102	C1577516	drug
1103	C1712080	drug
1104	C0978276	drug
1105	C0014987	drug
1106	C1960407	drug
1107	C0282133	drug
1108	C0979502	drug
1109	C1531779	drug
1110	C0690436	drug
1111	C0693824	drug
1112	C3273321	drug
1113	C1965880	drug
1114	C0452730	drug
1115	C0282849	drug
1116	C0974322	drug
1117	C0693047	drug
1118	C0994837	drug
1119	C0000598	drug
1120	C0056077	drug
1121	C0690780	drug
1122	C1966361	drug
1123	C0689477	drug
1124	C0074393	drug
1125	C0875554	drug
1126	C0669253	drug
1127	C2001856	drug
1128	C0979285	drug
1129	C0690754	drug
1130	C0975610	drug
1131	C0772342	drug
1132	C0980528	drug
1133	C1655767	drug
1134	C1591277	drug
1135	C0978647	drug
1136	C2266970	drug
1137	C0974838	drug
1138	C4048855	drug
1139	C0939014	drug
1140	C0687789	drug
1141	C0981367	drug
1142	C0977071	drug
1143	C3858017	drug
1144	C0022209	drug
1145	C0692502	drug
1146	C0338196	drug
1147	C0689571	drug
1148	C0016410	drug
1149	C0977222	drug
1150	C3819016	drug
1151	C1509569	drug
1152	C0708670	drug
1153	C0980112	drug
1154	C4276093	drug
1155	C0304376	drug
1156	C0979628	drug
1157	C0028833	drug
1158	C0771537	drug
1159	C1306088	drug
1160	C0774066	drug
1161	C4306794	drug
1162	C0694079	drug
1163	C0076823	drug
1164	C0692278	drug
1165	C1176306	drug
1166	C3665250	drug
1167	C4046205	drug
1168	C2700654	drug
1169	C0973998	drug
1170	C0981606	drug
1171	C4019674	drug
1172	C0304386	drug
1173	C0022499	drug
1174	C1541483	drug
1175	C0979795	drug
1176	C0875900	drug
1177	C0979083	drug
1178	C1572402	drug
1179	C0981508	drug
1180	C0975035	drug
1181	C1329013	drug
1182	C0692501	drug
1183	C0979431	drug
1184	C3162457	drug
1185	C0978500	drug
1186	C4073596	drug
1187	C2987417	drug
1188	C1455035	drug
1189	C1177950	drug
1190	C0772979	drug
1191	C1177661	drug
1192	C2344320	drug
1193	C2827241	drug
1194	C0980515	drug
1195	C0975548	drug
1196	C4033642	drug
1197	C0981220	drug
1198	C0782008	drug
1199	C0688612	drug
1200	C0978192	drug
1201	C0975419	drug
1202	C0709738	drug
1203	C2917759	drug
1204	C1177457	drug
1205	C0795388	drug
1206	C1832027	drug
1207	C0974621	drug
1208	C0065864	drug
1209	C0688308	drug
1210	C0982083	drug
1211	C0980585	drug
1212	C1632280	drug
1213	C0700473	drug
1214	C0979817	drug
1215	C0708055	drug
1216	C0977976	drug
1217	C1177667	drug
1218	C1815704	drug
1219	C0687958	drug
1220	C0016855	drug
1221	C0060405	drug
1222	C0790307	drug
1223	C4048338	drug
1224	C0978332	drug
1225	C1815885	drug
1226	C0057606	drug
1227	C0979782	drug
1228	C0776658	drug
1229	C1177166	drug
1230	C1329173	drug
1231	C1509299	drug
1232	C0980916	drug
1233	C0978465	drug
1234	C0102840	drug
1235	C0020934	drug
1236	C3883338	drug
1237	C0872972	drug
1238	C0355390	drug
1239	C0705010	drug
1240	C0672708	drug
1241	C1177116	drug
1242	C0783282	drug
1243	C0782979	drug
1244	C0775081	drug
1245	C0690879	drug
1246	C4018432	drug
1247	C3475267	drug
1248	C2343921	drug
1249	C0771607	drug
1250	C1572403	drug
1251	C0007555	drug
1252	C0976475	drug
1253	C0981754	drug
1254	C0976028	drug
1255	C0979140	drug
1256	C0712032	drug
1257	C0975164	drug
1258	C1591231	drug
1259	C1572542	drug
1260	C1576462	drug
1261	C0246203	drug
1262	C1572467	drug
1263	C2343629	drug
1264	C0975400	drug
1265	C0355299	drug
1266	C1876921	drug
1267	C0691132	drug
1268	C0975232	drug
1269	C0690534	drug
1270	C0707574	drug
1271	C0689669	drug
1272	C2920039	drug
1273	C1165185	drug
1274	C1164980	drug
1275	C3200101	drug
1276	C0778369	drug
1277	C3692778	drug
1278	C0689289	drug
1279	C0979903	drug
1280	C0700557	drug
1281	C0043572	drug
1282	C0702858	drug
1283	C1321643	drug
1284	C0007560	drug
1285	C0974648	drug
1286	C3667437	drug
1287	C0980385	drug
1288	C0974593	drug
1289	C0981600	drug
1290	C0979276	drug
1291	C3267387	drug
1292	C1374408	drug
1293	C1172636	drug
1294	C2363295	drug
1295	C0031453	drug
1296	C0980641	drug
1297	C0770150	drug
1298	C0074281	drug
1299	C0975744	drug
1300	C3249479	drug
1301	C2684583	drug
1302	C0777478	drug
1303	C2718481	drug
1304	C0691084	drug
1305	C0980806	drug
1306	C4078701	drug
1307	C0600347	drug
1308	C0975713	drug
1309	C0614088	drug
1310	C4048565	drug
1311	C0980273	drug
1312	C0980143	drug
1313	C2683243	drug
1314	C1562712	drug
1315	C0013015	drug
1316	C0978957	drug
1317	C0976878	drug
1318	C0008996	drug
1319	C4083099	drug
1320	C0025039	drug
1321	C0697780	drug
1322	C3709678	drug
1323	C1141020	drug
1324	C0981972	drug
1325	C0771200	drug
1326	C0980756	drug
1327	C1612313	drug
1328	C1827446	drug
1329	C0688667	drug
1330	C3871626	drug
1331	C3883591	drug
1332	C0028114	drug
1333	C0993177	drug
1334	C1373443	drug
1335	C1813148	drug
1336	C0773182	drug
1337	C0076181	drug
1338	C0938593	drug
1339	C0690582	drug
1340	C3536965	drug
1341	C0977621	drug
1342	C0690809	drug
1343	C3872140	drug
1344	C1177115	drug
1345	C3152814	drug
1346	C0712091	drug
1347	C1165101	drug
1348	C3152456	drug
1349	C0974843	drug
1350	C0991859	drug
1351	C0977829	drug
1352	C0980503	drug
1353	C0913469	drug
1354	C0716431	drug
1355	C0126774	drug
1356	C1620306	drug
1357	C0977999	drug
1358	C0689200	drug
1359	C0541154	drug
1360	C0008286	drug
