index	DrugBank_id
397	DB01229
398	DB00785
399	DB09208
400	DB06608
401	DB01103
402	DB00603
403	DB00531
404	DB01057
405	DB00689
406	DB01401
407	DB05161
408	DB01097
409	DB00607
410	DB00872
411	DB08900
412	DB04896
413	DB05700
414	DB00673
415	DB00576
416	DB09146
417	DB01011
418	DB01452
419	DB03585
420	DB00826
421	DB00908
422	DB01066
423	DB01242
424	DB01587
425	DB09063
426	DB01601
427	DB01329
428	DB05039
429	DB00496
430	DB08794
431	DB00232
432	DB00870
433	DB11609
434	DB04849
435	DB06176
436	DB00392
437	DB00933
438	DB06419
439	DB09107
440	DB09095
441	DB00801
442	DB01098
443	DB06532
444	DB09074
445	DB04459
446	DB11468
447	DB03404
448	DB01324
449	DB05764
450	DB06650
451	DB00437
452	DB00592
453	DB06366
454	DB09206
455	DB00958
456	DB08895
457	DB00111
458	DB11312
459	DB00177
460	DB00267
461	DB03600
462	DB00163
463	DB01177
464	DB01186
465	DB00715
466	DB00451
467	DB01108
468	DB11405
469	DB00425
470	DB00226
471	DB02282
472	DB01172
473	DB08930
474	DB05034
475	DB00660
476	DB09245
477	DB01196
478	DB06145
479	DB00629
480	DB06283
481	DB00814
482	DB01357
483	DB02975
484	DB01043
485	DB09099
486	DB08877
487	DB00009
488	DB06211
489	DB11518
490	DB02187
491	DB06480
492	DB11254
493	DB06690
494	DB00354
495	DB02587
496	DB04957
497	DB01176
498	DB00110
499	DB00723
500	DB00153
501	DB00105
502	DB00766
503	DB00593
504	DB11525
505	DB00018
506	DB00368
507	DB00178
508	DB06605
509	DB08797
510	DB09300
511	DB02659
512	DB08799
513	DB08880
514	DB09242
515	DB00261
516	DB00282
517	DB00201
518	DB00415
519	DB00968
520	DB00742
521	DB00302
522	DB00745
523	DB00243
524	DB06761
525	DB08902
526	DB09059
527	DB04398
528	DB00391
529	DB00708
530	DB00990
531	DB11410
532	DB01205
533	DB00762
534	DB07374
535	DB01410
536	DB00245
537	DB06643
538	DB08951
539	DB00191
540	DB00519
541	DB00744
542	DB00717
543	DB09244
544	DB01096
545	DB01072
546	DB05260
547	DB00847
548	DB00594
549	DB01388
550	DB00848
551	DB06742
552	DB00947
553	DB00575
554	DB08872
555	DB00804
556	DB06810
557	DB00476
558	DB00780
559	DB01323
560	DB00365
561	DB01239
562	DB08950
563	DB08992
564	DB00136
565	DB00905
566	DB01054
567	DB00664
568	DB00975
569	DB11512
570	DB01190
571	DB06652
572	DB00176
573	DB00710
574	DB08866
575	DB00300
576	DB09291
577	DB00209
578	DB01698
579	DB02034
580	DB00456
581	DB08909
582	DB00791
583	DB06470
584	DB08943
585	DB02901
586	DB08907
587	DB01320
588	DB01124
589	DB01247
590	DB00427
591	DB00492
592	DB00932
593	DB00915
594	DB00281
595	DB01213
596	DB00379
597	DB01192
598	DB01437
599	DB00624
600	DB01155
601	DB00180
602	DB01060
603	DB09055
604	DB11598
605	DB08875
606	DB06288
607	DB06458
608	DB08899
609	DB00951
610	DB00203
611	DB00202
612	DB06799
613	DB00030
614	DB00701
615	DB00082
616	DB01545
617	DB06132
618	DB00424
619	DB01200
620	DB01356
621	DB01255
622	DB01104
623	DB05396
624	DB01395
625	DB00996
626	DB00865
627	DB06770
628	DB11362
629	DB00677
630	DB01581
631	DB00061
632	DB00345
633	DB07565
634	DB04871
635	DB00011
636	DB06693
637	DB06168
638	DB01280
639	DB01147
640	DB00012
641	DB04828
642	DB08867
643	DB00897
644	DB11501
645	DB08906
646	DB01182
647	DB01529
648	DB06637
649	DB09488
650	DB00541
651	DB08910
652	DB06827
653	DB00813
654	DB09227
655	DB09241
656	DB01365
657	DB09240
658	DB00833
659	DB06739
660	DB04876
661	DB01019
662	DB09100
663	DB04918
664	DB00950
665	DB01277
666	DB00215
667	DB00372
668	DB01525
669	DB01325
670	DB09015
671	DB05822
672	DB00065
673	DB06150
674	DB01119
675	DB00953
676	DB06442
677	DB07931
678	DB01427
679	DB01021
680	DB05901
681	DB04574
682	DB00396
683	DB01339
684	DB00554
685	DB00324
686	DB00567
687	DB05540
688	DB00564
689	DB09130
690	DB01067
691	DB02255
692	DB08884
693	DB01262
694	DB06200
695	DB00357
696	DB01361
697	DB03010
698	DB00899
699	DB09119
700	DB08991
701	DB03825
702	DB00736
703	DB01328
704	DB06729
705	DB00098
706	DB06727
707	DB02109
708	DB06659
709	DB00886
710	DB04894
711	DB00515
712	DB00019
713	DB11543
714	DB06292
715	DB08911
716	DB04845
717	DB00842
718	DB08984
719	DB01117
720	DB00893
721	DB00027
722	DB01005
723	DB00362
724	DB06701
725	DB09273
726	DB03515
727	DB00288
728	DB00656
729	DB01082
730	DB00047
731	DB00445
732	DB01154
733	DB00335
734	DB09477
735	DB09256
736	DB01107
737	DB06210
738	DB00612
739	DB00994
740	DB01009
741	DB00412
742	DB01299
743	DB01220
744	DB00237
745	DB00914
746	DB01008
747	DB08961
748	DB00414
749	DB09060
750	DB00754
751	DB05351
752	DB02789
753	DB00433
754	DB00479
755	DB08874
756	DB00005
757	DB04920
758	DB00898
759	DB00347
760	DB00651
761	DB11371
762	DB01238
763	DB01321
764	DB00376
765	DB00561
766	DB09278
767	DB06016
768	DB06723
769	DB01426
770	DB03758
771	DB00289
772	DB04077
773	DB11485
774	DB00631
775	DB09094
776	DB06527
777	DB00999
778	DB06781
779	DB06762
780	DB04688
781	DB04690
782	DB09052
783	DB01377
784	DB00409
785	DB01201
786	DB00440
787	DB00598
788	DB01058
789	DB00912
790	DB00583
791	DB00511
792	DB00417
793	DB05786
794	DB04794
795	DB00859
796	DB01089
797	DB00808
798	DB10532
799	DB09062
800	DB00964
801	DB00475
802	DB00091
803	DB00298
804	DB01221
805	DB06213
806	DB00486
807	DB00634
808	DB08871
809	DB08905
810	DB00557
811	DB09153
812	DB00287
813	DB01607
814	DB01307
815	DB01700
816	DB00487
817	DB00092
818	DB00630
819	DB08942
820	DB00850
821	DB00390
822	DB00982
823	DB06710
824	DB00752
825	DB00712
826	DB08981
827	DB08964
828	DB08977
829	DB09112
830	DB04924
831	DB00370
832	DB09041
833	DB01137
834	DB08908
835	DB04835
836	DB01326
837	DB02546
838	DB06461
839	DB01045
840	DB00447
841	DB08550
842	DB00556
843	DB00853
844	DB11380
845	DB00297
846	DB00895
847	DB01166
848	DB04468
849	DB01015
850	DB00759
851	DB01708
852	DB00264
853	DB00477
854	DB06816
855	DB00429
856	DB00839
857	DB02557
858	DB00649
859	DB00667
860	DB01627
861	DB06702
862	DB00880
863	DB00806
864	DB01565
865	DB00482
866	DB00802
867	DB01288
868	DB00179
869	DB04825
870	DB04106
871	DB06274
872	DB04840
873	DB00196
874	DB06736
875	DB09072
876	DB02351
877	DB09048
878	DB00879
879	DB11426
880	DB00474
881	DB11466
882	DB00799
883	DB09516
884	DB01193
885	DB00255
886	DB00074
887	DB00332
888	DB06478
889	DB06728
890	DB00284
891	DB09102
892	DB05015
893	DB01413
894	DB09288
895	DB01007
896	DB06272
897	DB01273
898	DB01621
899	DB11057
900	DB06543
901	DB00016
902	DB08922
903	DB09230
904	DB00885
905	DB00807
906	DB00680
907	DB01551
908	DB00021
909	DB05812
910	DB00423
911	DB01261
912	DB06721
913	DB00706
914	DB08870
915	DB03128
916	DB00468
917	DB00399
918	DB05088
919	DB06738
920	DB00877
921	DB09162
922	DB08901
923	DB03127
924	DB00290
925	DB00525
926	DB09249
927	DB00401
928	DB01092
929	DB00344
930	DB04165
931	DB01210
932	DB00547
933	DB00342
934	DB05332
935	DB00641
936	DB00341
937	DB00782
938	DB00906
939	DB06735
940	DB01683
941	DB05384
942	DB11477
943	DB06267
944	DB08921
945	DB00563
946	DB00822
947	DB04956
948	DB06798
949	DB01263
950	DB03793
951	DB00967
952	DB00686
953	DB00645
954	DB05562
955	DB04834
956	DB01603
957	DB01014
958	DB00454
959	DB00711
960	DB00781
961	DB01138
962	DB00943
963	DB00812
964	DB01152
965	DB00648
966	DB02207
967	DB00952
968	DB00559
969	DB00257
970	DB06201
971	DB01450
972	DB11366
973	DB09261
974	DB11400
975	DB00658
976	DB08802
977	DB11413
978	DB00724
979	DB11535
980	DB05246
981	DB00904
982	DB01083
983	DB11412
984	DB01414
985	DB03615
986	DB11095
987	DB01244
988	DB00276
989	DB01429
990	DB06218
991	DB09481
992	DB00757
993	DB01265
994	DB00260
995	DB01393
996	DB00277
997	DB09166
998	DB05058
999	DB04907
1000	DB00864
1001	DB09234
1002	DB04861
1003	DB00020
1004	DB00704
1005	DB06216
1006	DB03946
1007	DB01436
1008	DB01223
1009	DB00229
1010	DB00890
1011	DB00726
1012	DB01249
1013	DB06300
1014	DB00388
1015	DB11256
1016	DB08970
1017	DB01483
1018	DB00945
1019	DB00444
1020	DB00056
1021	DB01068
1022	DB01605
1023	DB00993
1024	DB00271
1025	DB00351
1026	DB00663
1027	DB00103
1028	DB00977
1029	DB06607
1030	DB01595
1031	DB06754
1032	DB00393
1033	DB00918
1034	DB00497
1035	DB09309
1036	DB00223
1037	DB11487
1038	DB01037
1039	DB00653
1040	DB06711
1041	DB01297
1042	DB06691
1043	DB00831
1044	DB00452
1045	DB01618
1046	DB00617
1047	DB01180
1048	DB01878
1049	DB00481
1050	DB08861
1051	DB08868
1052	DB00494
1053	DB05528
1054	DB08815
1055	DB00684
1056	DB00672
1057	DB00217
1058	DB01586
1059	DB00224
1060	DB00328
1061	DB00626
1062	DB00694
1063	DB04818
1064	DB09262
1065	DB01197
1066	DB01064
1067	DB09555
1068	DB00697
1069	DB00784
1070	DB01933
1071	DB00236
1072	DB04440
1073	DB06224
1074	DB06782
1075	DB00793
1076	DB00166
1077	DB08917
1078	DB00772
1079	DB01246
1080	DB06774
1081	DB00618
1082	DB01151
1083	DB00738
1084	DB00657
1085	DB02701
1086	DB08841
1087	DB01274
1088	DB00810
1089	DB01669
1090	DB02237
1091	DB09069
1092	DB02638
1093	DB00246
1094	DB01331
1095	DB00055
1096	DB09292
1097	DB06594
1098	DB00940
1099	DB11502
1100	DB01140
1101	DB04572
1102	DB11531
1103	DB01079
1104	DB11268
1105	DB06795
1106	DB00934
1107	DB01463
1108	DB01422
1109	DB01412
1110	DB00795
1111	DB08976
1112	DB01029
1113	DB06268
1114	DB09183
1115	DB06688
1116	DB00988
1117	DB00532
1118	DB01030
1119	DB01602
1120	DB00004
1121	DB01289
1122	DB00078
1123	DB01345
1124	DB01555
1125	DB00241
1126	DB00861
1127	DB00501
1128	DB01254
1129	DB09156
1130	DB00574
1131	DB01022
1132	DB09040
1133	DB06817
1134	DB06681
1135	DB01185
1136	DB00700
1137	DB11377
1138	DB11358
1139	DB08940
1140	DB00779
1141	DB00283
1142	DB00305
1143	DB00588
1144	DB00313
1145	DB09093
1146	DB00398
1147	DB09118
1148	DB01583
1149	DB00387
1150	DB00046
1151	DB09174
1152	DB11181
1153	DB00071
1154	DB09559
1155	DB00404
1156	DB00369
1157	DB02281
1158	DB00963
1159	DB11390
1160	DB08826
1161	DB00627
1162	DB01080
1163	DB06335
1164	DB11480
1165	DB01577
1166	DB03783
1167	DB09209
1168	DB11446
1169	DB11461
1170	DB01418
1171	DB06554
1172	DB01036
1173	DB01359
1174	DB00480
1175	DB05541
1176	DB01206
1177	DB04817
1178	DB08806
1179	DB00514
1180	DB08863
1181	DB06694
1182	DB00041
1183	DB09250
1184	DB00960
1185	DB00665
1186	DB09270
1187	DB01399
1188	DB11432
1189	DB05271
1190	DB06813
1191	DB00646
1192	DB00740
1193	DB00577
1194	DB09042
1195	DB00212
1196	DB00606
1197	DB09342
1198	DB01034
1199	DB07996
1200	DB01217
1201	DB05100
1202	DB09257
1203	DB00448
1204	DB01431
1205	DB00747
1206	DB09247
1207	DB00770
1208	DB00889
1209	DB06152
1210	DB00483
1211	DB07232
1212	DB00851
1213	DB00235
1214	DB00238
1215	DB06203
1216	DB00285
1217	DB00173
1218	DB01558
1219	DB05676
1220	DB05173
1221	DB00852
1222	DB01195
1223	DB00832
1224	DB03701
1225	DB01143
1226	DB01042
1227	DB01017
1228	DB04900
1229	DB01268
1230	DB11526
1231	DB08329
1232	DB01013
1233	DB06678
1234	DB00856
1235	DB01167
1236	DB08887
1237	DB01544
1238	DB08935
1239	DB00142
1240	DB06697
1241	DB00115
1242	DB00291
1243	DB04540
1244	DB05137
1245	DB01039
1246	DB01118
1247	DB00871
1248	DB00015
1249	DB04827
1250	DB00120
1251	DB03203
1252	DB11556
1253	DB00894
1254	DB00818
1255	DB03553
1256	DB06155
1257	DB00835
1258	DB04960
1259	DB01613
1260	DB00837
1261	DB00978
1262	DB02855
1263	DB01563
1264	DB04725
1265	DB00413
1266	DB00251
1267	DB06791
1268	DB01165
1269	DB00955
1270	DB06707
1271	DB00862
1272	DB00981
1273	DB00863
1274	DB01384
1275	DB01416
1276	DB00719
1277	DB00434
1278	DB01407
1279	DB01023
1280	DB00375
1281	DB01102
1282	DB01095
1283	DB00778
1284	DB00227
1285	DB09265
1286	DB11549
1287	DB10283
1288	DB01156
1289	DB00428
1290	DB00620
1291	DB00834
1292	DB01609
1293	DB01567
1294	DB01122
1295	DB09161
1296	DB00286
1297	DB00755
1298	DB08912
1299	DB00338
1300	DB00360
1301	DB11586
1302	DB00502
1303	DB01598
1304	DB09007
1305	DB05099
1306	DB05258
1307	DB00269
1308	DB01466
1309	DB00221
1310	DB08621
1311	DB04831
1312	DB08873
1313	DB00549
1314	DB00685
1315	DB06207
1316	DB09277
1317	DB09071
1318	DB00792
1319	DB00268
1320	DB00465
1321	DB01184
1322	DB01141
1323	DB00601
1324	DB00439
1325	DB00935
1326	DB00373
1327	DB01114
1328	DB00311
1329	DB01171
1330	DB00006
1331	DB00640
1332	DB04222
1333	DB01110
1334	DB00900
1335	DB11575
1336	DB00218
1337	DB00692
1338	DB01208
1339	DB04930
1340	DB00671
1341	DB00569
1342	DB00181
1343	DB01086
1344	DB06290
1345	DB06186
1346	DB00199
1347	DB00418
1348	DB00774
1349	DB00054
1350	DB00925
1351	DB08886
1352	DB09216
1353	DB09073
1354	DB00242
1355	DB00619
1356	DB01049
1357	DB01333
1358	DB06820
1359	DB00976
1360	DB00695
1361	DB00881
1362	DB06264
1363	DB00939
1364	DB04868
1365	DB00760
1366	DB01348
1367	DB00491
1368	DB03459
1369	DB00722
1370	DB00578
1371	DB00623
1372	DB00838
1373	DB09235
1374	DB11389
1375	DB00985
1376	DB05708
1377	DB00771
1378	DB00069
1379	DB09201
1380	DB06228
1381	DB00949
1382	DB01269
1383	DB08913
1384	DB09045
1385	DB04950
1386	DB09255
1387	DB09212
1388	DB01438
1389	DB09017
1390	DB02513
1391	DB11304
1392	DB08437
1393	DB00450
1394	DB06237
1395	DB09251
1396	DB06748
1397	DB06725
1398	DB06794
1399	DB00316
1400	DB00714
1401	DB01349
1402	DB01381
1403	DB06719
1404	DB09215
1405	DB06583
1406	DB09267
1407	DB00228
1408	DB00991
1409	DB01224
1410	DB08865
1411	DB00407
1412	DB06589
1413	DB00331
1414	DB01592
1415	DB01248
1416	DB01227
1417	DB06802
1418	DB01415
1419	DB00193
1420	DB00250
1421	DB00751
1422	DB00489
1423	DB01497
1424	DB00928
1425	DB06612
1426	DB09056
1427	DB09228
1428	DB01174
1429	DB06263
1430	DB00213
1431	DB00610
1432	DB06671
1433	DB00655
1434	DB01207
1435	DB01536
1436	DB00743
1437	DB00068
1438	DB01142
1439	DB01074
1440	DB01285
1441	DB00546
1442	DB09323
1443	DB08804
1444	DB00377
1445	DB00946
1446	DB01232
1447	DB00233
1448	DB11363
1449	DB02261
1450	DB00394
1451	DB09243
1452	DB01582
1453	DB00643
1454	DB09043
1455	DB00107
1456	DB00568
1457	DB00508
1458	DB00072
1459	DB09239
1460	DB01396
1461	DB00395
1462	DB11442
1463	DB00421
1464	DB00361
1465	DB00262
1466	DB00820
1467	DB00816
1468	DB01175
1469	DB00523
1470	DB08934
1471	DB09001
1472	DB01264
1473	DB01139
1474	DB08811
1475	DB01116
1476	DB05360
1477	DB01235
1478	DB01440
1479	DB06209
1480	DB00355
1481	DB00699
1482	DB00637
1483	DB00470
1484	DB05294
1485	DB00582
1486	DB01309
1487	DB09117
1488	DB06153
1489	DB01392
1490	DB00550
1491	DB11404
1492	DB00488
1493	DB01240
1494	DB00087
1495	DB01408
1496	DB01033
1497	DB00580
1498	DB00517
1499	DB00845
1500	DB00884
1501	DB00613
1502	DB01099
1503	DB11121
1504	DB04951
1505	DB00303
1506	DB00718
1507	DB02877
1508	DB00633
1509	DB01170
1510	DB09260
1511	DB00231
1512	DB00346
1513	DB01591
1514	DB01085
1515	DB01228
1516	DB00796
1517	DB09064
1518	DB00400
1519	DB06204
1520	DB06662
1521	DB11076
1522	DB01253
1523	DB04813
1524	DB00222
1525	DB06262
1526	DB00495
1527	DB02703
1528	DB02806
1529	DB08864
1530	DB09020
1531	DB00493
1532	DB09203
1533	DB01250
1534	DB11372
1535	DB00460
1536	DB11500
1537	DB09034
1538	DB00063
1539	DB09338
1540	DB09039
1541	DB00916
1542	DB01278
1543	DB00604
1544	DB00430
1545	DB09135
1546	DB00997
1547	DB06147
1548	DB00896
1549	DB00746
1550	DB09280
1551	DB04842
1552	DB03395
1553	DB00973
1554	DB04839
1555	DB00543
1556	DB09236
1557	DB06206
1558	DB01053
1559	DB00185
1560	DB11520
1561	DB01111
1562	DB01366
1563	DB11416
1564	DB00349
1565	DB08833
1566	DB00334
1567	DB00308
1568	DB04898
1569	DB06797
1570	DB00122
1571	DB09218
1572	DB11532
1573	DB08814
1574	DB00924
1575	DB00573
1576	DB00099
1577	DB04820
1578	DB04166
1579	DB00972
1580	DB08882
1581	DB06674
1582	DB06404
1583	DB09154
1584	DB00385
1585	DB08860
1586	DB06459
1587	DB00776
1588	DB00158
1589	DB09225
1590	DB08896
1591	DB11397
1592	DB06717
1593	DB06821
1594	DB05767
1595	DB01432
1596	DB00989
1597	DB00322
1598	DB01162
1599	DB01006
1600	DB01588
1601	DB01600
1602	DB09128
1603	DB00911
1604	DB04953
1605	DB00457
1606	DB01133
1607	DB00917
1608	DB05073
1609	DB04539
1610	DB09222
1611	DB01189
1612	DB05692
1613	DB06698
1614	DB00768
1615	DB00458
1616	DB06767
1617	DB06685
1618	DB04576
1619	DB00060
1620	DB01150
1621	DB08952
1622	DB00484
1623	DB00130
1624	DB06769
1625	DB00102
1626	DB08986
1627	DB08439
1628	DB06789
1629	DB09220
1630	DB09281
1631	DB01535
1632	DB06402
1633	DB00461
1634	DB06716
1635	DB00301
1636	DB11409
1637	DB00038
1638	DB11376
1639	DB00849
1640	DB00239
1641	DB00690
1642	DB11241
1643	DB00330
1644	DB04948
1645	DB01063
1646	DB04946
1647	DB08993
1648	DB00112
1649	DB01160
1650	DB00750
1651	DB01214
1652	DB00616
1653	DB01338
1654	DB01041
1655	DB09030
1656	DB01421
1657	DB00998
1658	DB01624
1659	DB00312
1660	DB00512
1661	DB01342
1662	DB00455
1663	DB06415
1664	DB01071
1665	DB00197
1666	DB01615
1667	DB00787
1668	DB00589
1669	DB00253
1670	DB09076
1671	DB00169
1672	DB01002
1673	DB00962
1674	DB09252
1675	DB11314
1676	DB09122
1677	DB00749
1678	DB01589
1679	DB06212
1680	DB01026
1681	DB01275
1682	DB02527
1683	DB00811
1684	DB00014
1685	DB11430
1686	DB01075
1687	DB06579
1688	DB00170
1689	DB01472
1690	DB06414
1691	DB01159
1692	DB01394
1693	DB00343
1694	DB06616
1695	DB04925
1696	DB09036
1697	DB01093
1698	DB05232
1699	DB01400
1700	DB06081
1701	DB00436
1702	DB09077
1703	DB08932
1704	DB00581
1705	DB11458
1706	DB00930
1707	DB00402
1708	DB01667
1709	DB00165
1710	DB00410
1711	DB09067
1712	DB01612
1713	DB08807
1714	DB00210
1715	DB00350
1716	DB01509
1717	DB00819
1718	DB06266
1719	DB00867
1720	DB00542
1721	DB06766
1722	DB00073
1723	DB00275
1724	DB04741
1725	DB00352
1726	DB04570
1727	DB00790
1728	DB04881
1729	DB06144
1730	DB00405
1731	DB09301
1732	DB00636
1733	DB09389
1734	DB00758
1735	DB09143
1736	DB07720
1737	DB00654
1738	DB00731
1739	DB09295
1740	DB00336
1741	DB06441
1742	DB06636
1743	DB00590
1744	DB01181
1745	DB00966
1746	DB06626
1747	DB00259
1748	DB01153
1749	DB09246
1750	DB09079
1751	DB01344
1752	DB01362
1753	DB03172
1754	DB06372
1755	DB01622
1756	DB00883
1757	DB09248
1758	DB05521
1759	DB00292
1760	DB00983
1761	DB00553
1762	DB11464
1763	DB00367
1764	DB04858
1765	DB00828
1766	DB00080
1767	DB00961
1768	DB00614
1769	DB04272
1770	DB01454
1771	DB11507
1772	DB06763
1773	DB01020
1774	DB05254
1775	DB08801
1776	DB01130
1777	DB00059
1778	DB09134
1779	DB00204
1780	DB01234
1781	DB09010
1782	DB08889
1783	DB11471
1784	DB06219
1785	DB09221
1786	DB01420
1787	DB00841
1788	DB08931
1789	DB01579
1790	DB06159
1791	DB05296
1792	DB01183
1793	DB09080
1794	DB00882
1795	DB04952
1796	DB01251
1797	DB09287
1798	DB09023
1799	DB00263
1800	DB01580
1801	DB00969
1802	DB06803
1803	DB09214
1804	DB01353
1805	DB01301
1806	DB08954
1807	DB00441
1808	DB00384
1809	DB01078
1810	DB00540
1811	DB01340
1812	DB00625
1813	DB01355
1814	DB06433
1815	DB09297
1816	DB04833
1817	DB09232
1818	DB00642
1819	DB00435
1820	DB01149
1821	DB00318
1822	DB00572
1823	DB01257
1824	DB00252
1825	DB08835
1826	DB00957
1827	DB09104
1828	DB01161
1829	DB00696
1830	DB07402
1831	DB09037
1832	DB11375
1833	DB00108
1834	DB09046
1835	DB04899
1836	DB00721
1837	DB09317
1838	DB01501
1839	DB09279
1840	DB00363
1841	DB09224
1842	DB01656
1843	DB00836
1844	DB00358
1845	DB00876
1846	DB01179
1847	DB00518
1848	DB01035
1849	DB06689
1850	DB00682
1851	DB01489
1852	DB00190
1853	DB00599
1854	DB06800
1855	DB03496
1856	DB00827
1857	DB05109
1858	DB00520
1859	DB01243
1860	DB09253
1861	DB00970
1862	DB06174
1863	DB05630
1864	DB00058
1865	DB01219
1866	DB09065
1867	DB06788
1868	DB00570
1869	DB06726
1870	DB00615
1871	DB08947
