index	CTD_id	UMLS_CUI	type	
244	C004369	C0046525	chemical
245	D014867	C0043047	chemical
246	C027793	C0066969	chemical
247	C014416	C0055818	chemical
248	D010798	C0031788	chemical
249	D011344	C0033223	chemical
250	C071315	C0526950	chemical
251	C009495	C0076733	chemical
252	C543146	C2741935	chemical
253	D003022	C0009074	chemical
254	D015655	C0000098	chemical
255	C004282	C0136127	chemical
256	D000077143	C0246415	chemical
257	C023676	C0055447	chemical
258	C103848	C0534733	chemical
259	D006576	C0019402	chemical
260	C031278	C0046018	chemical
261	D011748	C0034303	chemical
262	C039923	C0055054	chemical
263	C001073	C0045508	chemical
264	D006003	C0017911	chemical
265	C051288	C0731453	chemical
266	C047330	C0068136	chemical
267	D010938	C0032085	chemical
268	D016244	C0079469	chemical
269	D001393	C0004504	chemical
270	C546412	C2745168	chemical
271	C114535	C0757629	chemical
272	C094503	C0299477	chemical
273	D007631	C0022562	chemical
274	C017133	C0055645	chemical
275	C024873	C1579345	chemical
276	D017258	C0065864	chemical
277	D000072317	C4277576	chemical
278	C562068	C3254332	chemical
279	D004642	C0013982	chemical
280	C520853	C1958126	chemical
281	D014520	C0041964	chemical
282	C121546	C0909237	chemical
283	C473631	C1176137	chemical
284	D000069583	C0657912	chemical
285	C474918	C0905527	chemical
286	C051595	C0629947	chemical
287	D011224	C0032912	chemical
288	C109112	C0667924	chemical
289	C062761	C0060408	chemical
290	C102817	C0532578	chemical
291	C010269	C0069648	chemical
292	C524165	C2000878	chemical
293	D004610	C0013900	chemical
294	C454400	C1122356	chemical
295	C472365	C1175119	chemical
296	C088464	C0257308	chemical
297	C080974	C0215774	chemical
298	D013184	C0995162	chemical
299	D018712	C0242937	chemical
300	D002400	C0007422	chemical
301	C032739	C0104206	chemical
302	C023031	C0068519	chemical
303	C558638	C2984527	chemical
304	C078814	C0211726	chemical
305	C020972	C0072781	chemical
306	C077022	C0172986	chemical
307	C004855	C0058860	chemical
308	C088936	C0258258	chemical
309	C090346	C0290641	chemical
310	D000068299	C0245531	chemical
311	C077430	C0173792	chemical
312	C105739	C0538539	chemical
313	D052160	C1567965	chemical
314	C007795	C0060849	chemical
315	C082248	C0660146	chemical
316	C075655	C0140114	chemical
317	C547124	C2745624	chemical
318	D003314	C0010029	chemical
319	D053260	C0037684	chemical
320	C110139	C0670242	chemical
321	D020927	C0113293	chemical
322	C107201	C0663733	chemical
323	C052518	C0078460	chemical
324	C034631	C0055987	chemical
325	C029933	C0108462	chemical
326	C543412	C1831892	chemical
327	D004961	C0014921	chemical
328	C010219	C0066018	chemical
329	D005395	C0016157	chemical
330	C045235	C0624216	chemical
331	C018935	C0059708	chemical
332	C042705	C0071568	chemical
333	D001993	C0006280	chemical
334	C035287	C0071836	chemical
335	C066229	C0084183	chemical
336	C051750	C0046144	chemical
337	C080985	C0215791	chemical
338	D019806	C0056506	chemical
339	C480311	C1433478	chemical
340	C485383	C1451546	chemical
341	D013447	C0038750	chemical
342	D001058	C0003596	chemical
343	D000077430	C0068334	chemical
344	D007203	C0021219	chemical
345	C005984	C0049315	chemical
346	C561635	C3252062	chemical
347	C094210	C0298857	chemical
348	D010654	C0031465	chemical
349	C073333	C0650251	chemical
350	D011241	C0032952	chemical
351	C549042	C2933582	chemical
352	C416837	C0962485	chemical
353	C011664	C0052133	chemical
354	C488796	C1505639	chemical
355	C000598200	C4044085	chemical
356	C465366	C1143473	chemical
357	C047517	C0876715	chemical
358	D002396	C0007413	chemical
359	C081294	C1142934	chemical
360	D004237	C0012804	chemical
361	D064750	C0378482	chemical
362	C463759	C1142798	chemical
363	D000068756	C0216784	chemical
364	C018453	C0051718	chemical
365	D000077265	C0527316	chemical
366	C562348	C3251885	chemical
367	D000077555	C0600901	chemical
368	C001816	C1504604	chemical
369	C077199	C0527332	chemical
370	D011107	C0032518	chemical
371	C534047	C2607183	chemical
372	C111043	C0672257	chemical
373	C100213	C0071051	chemical
374	C067110	C0209582	chemical
375	C046627	C0069679	chemical
376	C021650	C0063077	chemical
377	D000077546	C0536217	chemical
378	D006024	C0017970	chemical
379	D010098	C0030049	chemical
380	C011749	C0047830	chemical
381	D011730	C0034263	chemical
382	D005708	C0016980	chemical
383	C081949	C0659802	chemical
384	C060464	C0074184	chemical
385	C093323	C0297002	chemical
386	C043103	C0070969	chemical
387	C017157	C0056731	chemical
388	D020849	C0618111	chemical
389	C029973	C0060974	chemical
390	C516833	C1872063	chemical
391	D010100	C0030054	chemical
392	D008299	C0024577	chemical
393	C093392	C0297151	chemical
394	D006147	C0018321	chemical
395	C562239	C3253808	chemical
396	D002228	C0006976	chemical
397	D018682	C0242898	chemical
398	C001318	C0061958	chemical
399	C006921	C0058647	chemical
400	D004836	C0014561	chemical
401	C020748	C0060282	chemical
402	C004616	C0055443	chemical
403	C018599	C0048489	chemical
404	C055582	C0051487	chemical
405	C545423	C2744144	chemical
406	C025164	C0060808	chemical
407	C009022	C0071842	chemical
408	C060637	C0638100	chemical
409	C062769	C0050360	chemical
410	C052853	C0098451	chemical
411	C068580	C0645521	chemical
412	D011310	C0033086	chemical
413	C473336	C1175899	chemical
414	C010852	C0092419	chemical
415	C010410	C0049391	chemical
416	D007166	C0021081	chemical
417	C038996	C0060168	chemical
418	C023359	C0057856	chemical
419	C117443	C0763758	chemical
420	C084553	C0105363	chemical
421	D039563	C1136312	chemical
422	C421458	C0964645	chemical
423	C037219	C0034423	chemical
424	C046243	C0244792	chemical
425	D003652	C0011090	chemical
426	C083702	C0247801	chemical
427	D015790	C0007551	chemical
428	D000863	C0003138	chemical
429	C054256	C0069457	chemical
430	D003981	C0012022	chemical
431	C058450	C0056853	chemical
432	C065126	C0130387	chemical
433	C522667	C2000088	chemical
434	D000069462	C0058218	chemical
435	C017323	C0060574	chemical
436	C036670	C0146196	chemical
437	C010642	C0046882	chemical
438	C084820	C0015042	chemical
439	C046649	C0244821	chemical
440	C111654	C0673604	chemical
441	D002079	C0006494	chemical
442	D005711	C0016986	chemical
443	C560790	C3178619	chemical
444	C112765	C0675974	chemical
445	C027029	C0068426	chemical
446	C010561	C0056501	chemical
447	C481190	C1434556	chemical
448	C030865	C0056289	chemical
449	D010480	C0031013	chemical
450	C082097	C0218003	chemical
451	D003366	C0010192	chemical
452	C045626	C0069177	chemical
453	D015259	C0013036	chemical
454	C009952	C3501938	chemical
455	D008914	C0026196	chemical
456	D002700	C0008164	chemical
457	D008619	C0025384	chemical
458	C482900	C1436188	chemical
459	C504317	C1611049	chemical
460	C029036	C0056503	chemical
461	C030371	C0048898	chemical
462	C025644	C0936058	chemical
463	C530393	C2355394	chemical
464	C074636	C0168307	chemical
465	C076948	C0172827	chemical
466	C031149	C1533643	chemical
467	C000625835	C4547515	chemical
468	D008779	C0025830	chemical
469	C012066	C0076822	chemical
470	D009821	C0028908	chemical
471	C437965	C1098320	chemical
472	C526614	C2351444	chemical
473	D000395	C0001871	chemical
474	D007488	C0022057	chemical
475	C493087	C1528779	chemical
476	C440229	C1099420	chemical
477	C010175	C0062092	chemical
478	C412815	C0960491	chemical
479	D011794	C0034392	chemical
480	C511312	C1722804	chemical
481	C007628	C0059589	chemical
482	C061688	C0068177	chemical
483	C045816	C0052417	chemical
484	C000594859	C4045447	chemical
485	C018021	C0056036	chemical
486	C011439	C0043791	chemical
487	C553589	C2973440	chemical
488	C039798	C0065649	chemical
489	C057105	C0046135	chemical
490	C031150	C0061762	chemical
491	C082874	C0219497	chemical
492	C037406	C0045114	chemical
493	C054487	C0065949	chemical
494	D000546	C0002402	chemical
495	C114767	C0758115	chemical
496	D006034	C0017986	chemical
497	C099015	C1579206	chemical
498	C038616	C0116294	chemical
499	D014992	C0043368	chemical
500	C028972	C0377336	chemical
501	C515441	C1869160	chemical
502	C061017	C0286263	chemical
503	C056041	C0068494	chemical
504	C014758	C0071286	chemical
505	C014896	C0918270	chemical
506	C087594	C0255470	chemical
507	C012103	C0067374	chemical
508	D000077432	C2001271	chemical
509	C022088	C0074523	chemical
510	C502972	C1608617	chemical
511	D001514	C0004920	chemical
512	C005391	C0057951	chemical
513	C066304	C0084528	chemical
514	D004967	C0014939	chemical
515	C549913	C2934427	chemical
516	C464538	C1142928	chemical
517	C499748	C1541463	chemical
518	D000077385	C0600334	chemical
519	D016190	C0079083	chemical
520	C030990	C0053325	chemical
521	C053001	C0050175	chemical
522	C107902	C0665240	chemical
523	C479877	C1432993	chemical
524	C523393	C2002637	chemical
525	C530773	C2603605	chemical
526	C451735	C1121681	chemical
527	C045387	C0055972	chemical
528	C025703	C0053847	chemical
529	D003435	C0010369	chemical
530	C021298	C0061101	chemical
531	C026474	C0061277	chemical
532	D008148	C0024027	chemical
533	C079163	C0212386	chemical
534	D000935	C0003308	chemical
535	C090034	C0289969	chemical
536	D000077722	C0055014	chemical
537	C043114	C0244656	chemical
538	C539997	C4042962	chemical
539	C043438	C0051289	chemical
540	C032041	C0063069	chemical
541	C059950	C0074112	chemical
542	C060229	C0165397	chemical
543	C073409	C0131220	chemical
544	D004088	C0012294	chemical
545	C492871	C1613391	chemical
546	D002976	C0008932	chemical
547	D009645	C0028369	chemical
548	D010643	C0031441	chemical
549	C010313	C0072535	chemical
550	C079389	C0656979	chemical
551	C002764	C0601594	chemical
552	C025421	C0058977	chemical
553	D016644	C0085210	chemical
554	D005963	C0017770	chemical
555	D000068580	C1569608	chemical
556	C555021	C2976588	chemical
557	C505455	C1623421	chemical
558	C010925	C0045555	chemical
559	D008985	C0026408	chemical
560	D010852	C0031890	chemical
561	C471210	C1174221	chemical
562	C033022	C0244243	chemical
563	C571996	C3492056	chemical
564	C087634	C0255561	chemical
565	C434247	C0969386	chemical
566	C041528	C0060579	chemical
567	D006220	C0018546	chemical
568	C050592	C0047123	chemical
569	C525468	C2000472	chemical
570	D000666	C0002679	chemical
571	D010395	C0030815	chemical
572	C006358	C0050451	chemical
573	C061785	C0070359	chemical
574	C027975	C0060481	chemical
575	C060076	C1531393	chemical
576	D011746	C0034295	chemical
577	D018823	C0061041	chemical
578	C036042	C0207834	chemical
579	C099154	C1307704	chemical
580	C002070	C0053530	chemical
581	C432307	C0968421	chemical
582	C470200	C1173351	chemical
583	C107873	C0665183	chemical
584	C030419	C0051821	chemical
585	C081306	C0216409	chemical
586	C089946	C0289779	chemical
587	C090066	C0290038	chemical
588	C103198	C0533371	chemical
589	C584017	C3712730	chemical
590	D009581	C0028155	chemical
591	C000591541	C3885932	chemical
592	C050699	C0078703	chemical
593	C552420	C2973537	chemical
594	D010096	C0030040	chemical
595	C570539	C3490618	chemical
596	C014102	C0068099	chemical
597	C067601	C0031954	chemical
598	C035377	C0082003	chemical
599	C410337	C0915421	chemical
600	C451779	C1121703	chemical
601	C002385	C0525082	chemical
602	C060343	C0526399	chemical
603	D013881	C0039943	chemical
604	C061995	C0639008	chemical
605	C047368	C0047611	chemical
606	C493218	C1528949	chemical
607	C509288	C1698143	chemical
608	C016371	C0065175	chemical
609	C005460	C0077854	chemical
610	C568442	C3253091	chemical
611	D014499	C0041920	chemical
612	D010695	C0031562	chemical
613	C053083	C0054094	chemical
614	C090071	C0290044	chemical
615	C024555	C0060229	chemical
616	C045616	C0074876	chemical
617	C035957	C0046202	chemical
618	C587452	C3850809	chemical
619	D010862	C0031923	chemical
620	C011462	C0059566	chemical
621	D058185	C2713587	chemical
622	C062259	C0068625	chemical
623	D017334	C0145106	chemical
624	C030123	C0010206	chemical
625	D014240	C0040904	chemical
626	C484543	C1450891	chemical
627	C025720	C0071975	chemical
628	D012969	C0037508	chemical
629	C045244	C0592010	chemical
630	C030299	C0031479	chemical
631	C001809	C0057671	chemical
632	C060328	C0073704	chemical
633	C033789	C0060152	chemical
634	D010419	C0030863	chemical
635	D006830	C0020223	chemical
636	D004220	C0012771	chemical
637	C004765	C0072223	chemical
638	C078846	C0656383	chemical
639	C013364	C0070112	chemical
640	D004222	C0012773	chemical
641	D005227	C0015684	chemical
642	C545385	C2745780	chemical
643	D006826	C0020207	chemical
644	C059265	C0165297	chemical
645	D008942	C0026259	chemical
646	D000537	C0002374	chemical
647	C061603	C0049431	chemical
648	C477931	C1312230	chemical
649	D014288	C0041026	chemical
650	C030665	C0077259	chemical
651	C000623013	C4548926	chemical
652	C056903	C0077961	chemical
653	C110309	C0670629	chemical
654	C035874	C0060309	chemical
655	C466858	C1144270	chemical
656	C100194	C0076513	chemical
657	D002083	C0006506	chemical
658	D010389	C0030800	chemical
659	C103345	C0533693	chemical
660	C081552	C0216917	chemical
661	D006629	C1451270	chemical
662	D000781	C0002937	chemical
663	D000655	C0002641	chemical
664	C517629	C1870869	chemical
665	C040500	C0070661	chemical
666	C045965	C0075365	chemical
667	C083030	C0219776	chemical
668	D019162	C0376445	chemical
669	C005915	C0051224	chemical
670	D014859	C0043031	chemical
671	C022960	C0046485	chemical
672	D005421	C0682897	chemical
673	C089750	C0528166	chemical
674	C515928	C1872935	chemical
675	D000068656	C0066700	chemical
676	D058786	C2936800	chemical
677	C018968	C0053451	chemical
678	D001115	C0003753	chemical
679	D003270	C0009871	chemical
680	C515179	C1870913	chemical
681	D062365	C3495420	chemical
682	C580773	C3659601	chemical
683	C075499	C0169989	chemical
684	D013849	C0039867	chemical
685	C514017	C1742936	chemical
686	D000077287	C0377265	chemical
687	C001870	C0068930	chemical
688	C070898	C0378996	chemical
689	C033125	C0069216	chemical
690	C047778	C0088801	chemical
691	C104536	C0536128	chemical
692	C038105	C0525817	chemical
693	C119066	C0767233	chemical
694	C010651	C0054207	chemical
695	C016274	C0054102	chemical
696	C042234	C1882252	chemical
697	D000336	C1112870	chemical
698	C529989	C2354937	chemical
699	C005274	C0068451	chemical
700	C066201	C0084454	chemical
701	C500530	C1569110	chemical
702	C046785	C0054173	chemical
703	C582844	C3658481	chemical
704	C560328	C3178211	chemical
705	D003678	C0011161	chemical
706	C066926	C0081769	chemical
707	C085955	C0252077	chemical
708	C100279	C0072658	chemical
709	C582845	C3658480	chemical
710	D003035	C0009148	chemical
711	C009694	C0045535	chemical
712	C086184	C0252545	chemical
713	D005469	C0016351	chemical
714	D007832	C0023082	chemical
715	C001162	C0059677	chemical
716	C000603415	C4079429	chemical
717	D012980	C0037549	chemical
718	C058249	C0058895	chemical
719	D009568	C0028127	chemical
720	D008901	C0026160	chemical
721	C401312	C1531440	chemical
722	C038135	C0045047	chemical
723	C012074	C0045323	chemical
724	D019813	C0043833	chemical
725	C035100	C0132512	chemical
726	C100098	C0054598	chemical
727	C004568	C0076648	chemical
728	C024524	C0053433	chemical
729	C107754	C0664923	chemical
730	C468549	C1172344	chemical
731	C037057	C0064254	chemical
732	D008376	C0024778	chemical
733	C103280	C0533558	chemical
734	C009145	C0072855	chemical
735	D012531	C1313990	chemical
736	D006497	C0019143	chemical
737	C009900	C0065067	chemical
738	C009042	C0071986	chemical
739	D009270	C0027358	chemical
740	C005177	C0358787	chemical
741	C544967	C2980091	chemical
742	D058671	C0304516	chemical
743	D000525	C0002333	chemical
744	C059873	C0075511	chemical
745	C100699	C0391507	chemical
746	C443401	C1100445	chemical
747	D014191	C0040778	chemical
748	D000068816	C0165631	chemical
749	D013889	C0039957	chemical
750	C046062	C0046573	chemical
751	C435072	C1097128	chemical
752	C540157	C2715360	chemical
753	C507129	C1678788	chemical
754	C008392	C0066140	chemical
755	D013469	C0038803	chemical
756	C042986	C0058903	chemical
757	C112418	C0675261	chemical
758	D014750	C0042679	chemical
759	D009531	C0028009	chemical
760	C052075	C0076502	chemical
761	C494620	C1530680	chemical
762	C439263	C1098957	chemical
763	C410803	C0915683	chemical
764	C111479	C0673210	chemical
765	D014230	C0040880	chemical
766	C010958	C0050236	chemical
767	C006796	C0772270	chemical
768	D008012	C0023660	chemical
769	D014284	C0041014	chemical
770	C505030	C1614476	chemical
771	C549498	C2934061	chemical
772	C063964	C0378528	chemical
773	D009637	C0733397	chemical
774	D014702	C0042526	chemical
775	C013063	C0063582	chemical
776	C002494	C0073953	chemical
777	C489152	C1505974	chemical
778	C024626	C0054005	chemical
779	C029407	C0377344	chemical
780	C491147	C1506911	chemical
781	D010423	C0030873	chemical
782	C006753	C0065885	chemical
783	D007451	C0021961	chemical
784	D000092	C0000992	chemical
785	C023036	C0070403	chemical
786	D010205	C0030342	chemical
787	D005960	C0017765	chemical
788	D003031	C0009131	chemical
789	C585652	C3712066	chemical
790	D006854	C0020268	chemical
791	D002697	C0008161	chemical
792	D000638	C0002598	chemical
793	C461207	C1137988	chemical
794	C088092	C1955822	chemical
795	C043867	C0055705	chemical
796	D001032	C0003524	chemical
797	C007517	C0058381	chemical
798	D020030	C0600437	chemical
799	C519845	C1957121	chemical
800	D009822	C0028910	chemical
801	D000526	C0002334	chemical
802	D017311	C0051696	chemical
803	C575631	C3502193	chemical
804	D011429	C0033488	chemical
805	C500727	C1569420	chemical
806	D002266	C0037487	chemical
807	C520612	C1957890	chemical
808	D054045	C1955854	chemical
809	C488736	C1505477	chemical
810	C488382	C1623351	chemical
811	C472634	C1175331	chemical
812	C105490	C0538036	chemical
813	D000001	C0000699	chemical
814	D013501	C0038888	chemical
815	C102660	C0532261	chemical
816	C107385	C0664116	chemical
817	C016517	C0063491	chemical
818	D002211	C0006931	chemical
819	D003982	C0012024	chemical
820	C059238	C0064987	chemical
821	D008761	C0025779	chemical
822	C080903	C0215638	chemical
823	C117197	C0763229	chemical
824	D000502	C0002160	chemical
825	C487513	C1453399	chemical
826	C035835	C0067471	chemical
827	C029216	C0045826	chemical
828	D000927	C0003286	chemical
829	D000108	C0001040	chemical
830	C000025	C0600692	chemical
831	C564403	C1843920	chemical
832	D002316	C0007209	chemical
833	C584865	C3712911	chemical
834	D000068799	C2683417	chemical
835	C031796	C0244182	chemical
836	D010629	C0031404	chemical
837	C542786	C2717706	chemical
838	C017875	C0060397	chemical
839	C003959	C0076084	chemical
840	C005370	C0076890	chemical
841	C043482	C0066837	chemical
842	C013934	C0069370	chemical
843	C465368	C1143475	chemical
844	C016136	C0076328	chemical
845	C014843	C0043750	chemical
846	C008859	C0070689	chemical
847	D017257	C0072973	chemical
848	C047726	C0139691	chemical
849	D015059	C0000107	chemical
850	C477941	C1312242	chemical
851	D037741	C0302934	chemical
852	C045188	C0051014	chemical
853	C014118	C2713366	chemical
854	D008879	C0026078	chemical
855	C066198	C0643232	chemical
856	C017180	C0057233	chemical
857	C002785	C0069698	chemical
858	C105338	C0537738	chemical
859	C114870	C0758316	chemical
860	C028577	C0066733	chemical
861	C477271	C1311598	chemical
862	D005050	C0015137	chemical
863	D017672	C0028159	chemical
864	C026804	C0047844	chemical
865	D002974	C0008929	chemical
866	D017272	C0055021	chemical
867	D003897	C0011704	chemical
868	C106246	C0539568	chemical
869	C013638	C0069939	chemical
870	D019695	C0061751	chemical
871	D015737	C0028116	chemical
872	D009829	C0028929	chemical
873	C051414	C0082948	chemical
874	D008618	C0025382	chemical
875	C033363	C0053373	chemical
876	C030396	C0061420	chemical
877	D015031	C0043479	chemical
878	D003350	C0010139	chemical
879	C477898	C1312193	chemical
880	D003009	C0009033	chemical
881	C517943	C1870443	chemical
882	D011738	C0034282	chemical
883	C007946	C0062735	chemical
884	C051412	C0043743	chemical
885	D002586	C0007886	chemical
886	C585106	C3711172	chemical
887	C063968	C0082359	chemical
888	C013042	C0076965	chemical
889	C058582	C0209042	chemical
890	C070020	C0115763	chemical
891	C568285	C3252416	chemical
892	D020910	C0073631	chemical
893	C031132	C0072231	chemical
894	D015124	C0000661	chemical
895	D012855	C0037215	chemical
896	C011559	C0077024	chemical
897	D004126	C0012426	chemical
898	D011522	C0033727	chemical
899	C049705	C0073828	chemical
900	C099958	C0390661	chemical
901	C000614725	C4505795	chemical
902	C017540	C0066622	chemical
903	C545122	C2741919	chemical
904	C043457	C0208078	chemical
905	C025223	C0044018	chemical
906	C481961	C1435176	chemical
907	D009340	C0027556	chemical
908	C012313	C0059788	chemical
909	D000068298	C0082607	chemical
910	C005328	C0046435	chemical
911	D014529	C0041984	chemical
912	D002701	C0008168	chemical
913	C417521	C0962871	chemical
914	C010831	C0054212	chemical
915	C524478	C2001019	chemical
916	D015773	C0014027	chemical
917	C055139	C0053881	chemical
918	D010909	C0032017	chemical
919	C005010	C0062124	chemical
920	D016861	C0085387	chemical
921	C068408	C0126527	chemical
922	D013185	C0038071	chemical
923	C100245	C0054091	chemical
924	C508711	C1702175	chemical
925	C453460	C1122092	chemical
926	D000871	C0003158	chemical
927	C058121	C0064469	chemical
